27 8
丁家庄九乡河西路
信息学院
文澜路东
紫金学院
文澜路·南工院西
邮电大学北
学海路
文澜路北
文澜路
文澜路南
亚东新城区
文苑路西
仙隐北路
雁鸣山庄
亚东花园城
尧胜村
仙尧路·尧胜村
花卉物流中心
海子口
尧化门西
金尧山庄
丁家庄
南医大二附院总站安德门
能仁里
雨花西路
窑湾街
钓鱼台
7,15,12,1
15,11,13,1
11,24,13,1
24,8,24,1
8,10,10,1
10,23,18,1
23,1,23,1
1,4,7,1
4,9,9,1
9,18,14,1
18,6,12,1
6,26,14,1
26,20,6,1
20,25,9,1
25,3,17,1
3,17,17,1
17,14,5,1
14,5,24,1
5,13,12,1
13,27,23,1
27,19,9,1
19,12,18,1
12,21,20,1
21,22,10,1
22,2,19,1
2,16,16,1
18,4,22,2
4,13,12,2
13,6,11,2
6,1,6,2
1,24,15,2
24,20,23,2
17,16,12,3
16,9,20,3
9,19,24,3
19,23,7,3
23,7,19,3
7,13,22,3
13,22,10,3
22,4,22,3
4,14,15,3
14,27,21,3
27,18,21,3
18,26,14,3
26,24,9,3
24,11,13,3
11,2,22,3
2,1,11,3
1,3,7,3
3,25,17,3
16,14,10,4
14,20,17,4
20,18,19,4
18,7,23,4
7,11,12,4
15,10,24,5
10,27,14,5
27,21,11,5
21,14,7,5
14,9,22,5
9,26,21,5
26,18,14,5
18,23,18,5
23,13,12,5
13,22,10,5
22,8,21,5
8,16,20,5
16,17,12,5
17,12,10,5
12,5,22,5
5,11,15,5
11,4,24,5
2,9,5,6
9,18,14,6
18,26,14,6
26,4,21,6
4,1,7,6
1,21,15,6
21,5,20,6
5,25,7,6
25,23,17,6
23,10,18,6
10,24,21,6
24,13,10,6
1,13,10,7
13,21,21,7
21,15,10,7
15,19,5,7
19,18,13,7
18,10,15,7
10,17,16,7
17,25,22,7
25,7,9,7
7,16,15,7
16,8,20,7
8,12,23,7
12,4,23,7
4,24,23,7
24,9,19,7
9,14,22,7
14,23,12,7
23,5,19,7
5,20,20,7
20,22,12,7
22,27,10,7
27,26,7,7
26,6,14,7
6,2,19,7
26,3,7,8
3,4,24,8
4,11,24,8
11,5,15,8
5,23,19,8
23,7,19,8
7,1,6,8
1,25,13,8
